condition_id,ring number,geology_1,geology_2,geology_3,geology_4,geology_5,geology_6,cutter speed,total thrust,grouting pressure,sync grouting volume,stock solution ratio,foam pressure,expansion rate,dosage,cutter torque,tunneling speed
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36500.0,3.4,9.72,6.0,3.89,0.0,106.5,4970.0,27.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,37100.0,3.44,9.77,6.0,3.94,0.0,106.3,5030.0,23.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,37000.0,3.44,9.37,6.0,3.89,0.0,106.7,4410.0,15.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.28,10.95,6.0,3.82,0.0,106.2,6310.0,32.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,35900.0,3.28,10.17,6.0,3.83,0.0,106.6,5310.0,30.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,35900.0,3.28,10.17,6.0,3.83,0.0,106.6,5310.0,30.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.5,37400.0,3.36,8.95,6.0,3.86,0.0,107.0,5000.0,26.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.28,10.95,6.0,3.82,0.0,106.2,6310.0,32.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.4,10.01,6.0,3.89,0.0,106.5,4300.0,40.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36700.0,3.2,13.78,6.0,3.97,0.0,106.4,4360.0,17.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.28,10.95,6.0,3.82,0.0,106.2,6310.0,32.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36700.0,3.28,10.34,6.0,3.82,0.0,106.5,6270.0,28.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.4,10.01,6.0,3.89,0.0,106.5,4300.0,40.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.5,37400.0,3.36,8.95,6.0,3.86,0.0,107.0,5000.0,26.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36800.0,3.24,13.04,6.0,3.9,0.0,106.3,5660.0,20.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36700.0,3.44,9.29,6.0,3.96,0.0,106.4,4140.0,33.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.4,10.01,6.0,3.89,0.0,106.5,4300.0,40.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36000.0,3.28,11.22,6.0,4.07,0.0,106.1,5320.0,14.0
